raw time,,adjusted time,, trigger
1738540905,,0,,0
1738540905,,0.000999928,,0
1738540905,,0.000999928,,0
1738540905,,0.004999876,,0
1738540905,,0.00999999,,0
1738540905,,0.013999939,,0
1738540905,,0.029000044,,0
1738540905,,0.036999941,,0
1738540905,,0.049999952,,0
1738540905,,0.056999922,,0
1738540905,,0.063999891,,0
1738540905,,0.072000027,,0
1738540905,,0.076999903,,0
1738540905,,0.098999977,,0
1738540905,,0.103999853,,0
1738540905,,0.111000061,,0
1738540905,,0.116999865,,0
1738540905,,0.124000072,,0
1738540905,,0.131000042,,0
1738540905,,0.138000011,,0
1738540905,,0.144999981,,0
1738540905,,0.15199995,,0
1738540905,,0.15899992,,0
1738540905,,0.165999889,,0
1738540905,,0.172999859,,0
1738540905,,0.180000067,,0
1738540905,,0.187000036,,0
1738540905,,0.194000006,,0
1738540905,,0.201999903,,0
1738540905,,0.207999945,,0
1738540905,,0.214999914,,0
1738540905,,0.221999884,,0
1738540905,,0.228999853,,0
1738540905,,0.236000061,,0
1738540905,,0.243000031,,0
1738540905,,0.25,,0
1738540905,,0.256999969,,0
1738540905,,0.263000011,,0
1738540905,,0.270999908,,0
1738540905,,0.27699995,,0
1738540905,,0.284999847,,0
1738540905,,0.290999889,,0
1738540905,,0.299000025,,0
1738540905,,0.305999994,,0
1738540905,,0.312000036,,0
1738540905,,0.319999933,,0
1738540905,,0.325999975,,0
1738540905,,0.332999945,,0
1738540905,,0.339999914,,0
1738540905,,0.346999884,,0
1738540905,,0.353999853,,0
1738540905,,0.361000061,,0
1738540905,,0.369999886,,0
1738540905,,0.375,,0
1738540905,,0.381999969,,0
1738540905,,0.388999939,,0
1738540906,,0.395999908,,0
1738540906,,0.402999878,,0
1738540906,,0.40899992,,0
1738540906,,0.415999889,,0
1738540906,,0.424000025,,0
1738540906,,0.430000067,,0
1738540906,,0.437000036,,0
1738540906,,0.444000006,,0
1738540906,,0.451999903,,0
1738540906,,0.457999945,,0
1738540906,,0.464999914,,0
1738540906,,0.471999884,,0
1738540906,,0.478999853,,0
1738540906,,0.486000061,,0
1738540906,,0.493000031,,0
1738540906,,0.5,,0
1738540906,,0.506999969,,0
