raw time,,adjusted time,, trigger
1738540681,,0,,0
1738540681,,0,,0
1738540681.463,,0.001000166,,0
1738540681.468,,0.006000042,,0
1738540681.472,,0.00999999,,0
1738540681.475,,0.013000011,,0
1738540681.479,,0.017000198,,0
1738540681.486,,0.024000168,,0
1738540681.492,,0.03000021,,0
1738540681.501,,0.039000034,,0
1738540681.507,,0.045000076,,0
1738540681.539,,0.077000141,,0
1738540681.544,,0.082000017,,0
1738540681.550,,0.088000059,,0
1738540681.557,,0.095000029,,0
1738540681.564,,0.101999998,,0
1738540681.571,,0.109000206,,0
1738540681.578,,0.116000175,,0
1738540681.584,,0.122000217,,0
1738540681.591,,0.129000187,,0
1738540681.599,,0.137000084,,0
1738540681.606,,0.144000053,,0
1738540681.613,,0.151000023,,0
1738540681.620,,0.157999992,,0
1738540681.627,,0.1650002,,0
1738540681.634,,0.17200017,,0
1738540681.641,,0.179000139,,0
1738540681.648,,0.186000109,,0
1738540681.655,,0.193000078,,0
1738540681.662,,0.200000048,,0
1738540681.669,,0.207000017,,0
1738540681.676,,0.214000225,,0
1738540681.683,,0.221000195,,0
1738540681.689,,0.226999998,,0
1738540681.696,,0.234000206,,0
1738540681.703,,0.241000175,,0
1738540681.710,,0.248000145,,0
1738540681.717,,0.255000114,,0
1738540681.724,,0.262000084,,0
1738540681.731,,0.269000053,,0
1738540681.738,,0.276000023,,0
1738540681.745,,0.282999992,,0
1738540681.752,,0.2900002,,0
1738540681.758,,0.296000004,,0
1738540681.766,,0.304000139,,0
1738540681.772,,0.310000181,,0
1738540681.779,,0.317000151,,0
1738540681.786,,0.32400012,,0
1738540681.793,,0.33100009,,0
1738540681.800,,0.338000059,,0
1738540681.808,,0.346000195,,0
1738540681.815,,0.353000164,,0
1738540681.822,,0.360000134,,0
1738540681.829,,0.367000103,,0
1738540681.836,,0.374000072,,0
1738540681.843,,0.381000042,,0
1738540681.850,,0.388000011,,0
1738540681.856,,0.394000053,,0
1738540681.862,,0.400000095,,0
1738540681.870,,0.407999992,,0
1738540681.877,,0.4150002,,0
1738540681.884,,0.42200017,,0
1738540681.891,,0.429000139,,0
1738540681.898,,0.436000109,,0
1738540681.905,,0.443000078,,0
